timestamp_coleta,T_MF4_IN,T_MF4_OUT,T_MM2_IN,T_MM2_OUT,T_BOILER100,T_BOILER200,T_IN,Sinal_Vazao1
2025-05-20 21:08:10.592555,26.79,26.36,26.84,27.56,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:11.573076,23.92,26.35,27.0,27.76,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:12.584251,26.45,26.14,26.67,27.71,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:13.671799,27.6,27.09,27.18,27.02,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:14.764050,27.67,26.31,27.64,27.7,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:15.759338,29.35,25.92,26.98,27.24,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:16.757153,22.78,26.45,27.61,27.52,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:17.890082,27.14,26.04,27.14,27.71,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:19.025286,29.45,26.97,27.7,27.05,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:20.078288,19.25,27.72,27.71,27.17,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:21.212907,25.64,26.12,26.74,27.71,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:22.220685,27.8,27.04,27.13,26.99,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:23.215034,26.36,26.0,26.95,27.78,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:24.230565,26.98,26.69,27.4,27.2,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:25.393968,22.03,26.14,27.86,27.41,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:26.405610,27.83,26.43,27.26,27.25,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:27.497196,22.35,27.68,27.56,26.99,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:28.584767,22.51,26.62,27.23,27.58,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:29.717062,27.77,26.68,26.96,27.22,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:30.796507,22.78,26.62,27.58,27.51,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:31.949030,21.51,25.81,27.79,27.68,-100.0,-100.0,-100.0,1.0
